repo	created_at	updated_at	pushed_at	stargazers_count	watchers_count	forks_count	open_issues_count	language	license	homepage	description
https://github.com/DataResponsibly/DataSynthesizer	2017-01-26T19:50:06Z	2022-08-28T21:33:09Z	2022-04-01T00:21:23Z	173	173	65	10	HTML	MIT	null	null
https://github.com/gretelai/gretel-synthetics	2020-03-02T15:54:44Z	2022-08-26T05:42:53Z	2022-08-30T19:45:00Z	304	304	46	0	Python	NOASSERTION	https://gretel.ai/platform/synthetics	Synthetic data generators for structured and unstructured text, featuring differentially private learning.
https://github.com/lk-geimfari/mimesis	2016-09-09T21:41:22Z	2022-08-31T21:18:37Z	2022-08-31T18:06:57Z	3729	3729	296	5	Python	MIT	https://mimesis.name	Mimesis is a high-performance fake data generator for Python, which provides data for a variety of purposes in a variety of languages. 
https://github.com/Nike-Inc/timeseries-generator	2021-07-20T20:15:19Z	2022-08-29T06:38:17Z	2021-10-05T19:57:46Z	71	71	15	2	Python	Apache-2.0		A library to generate synthetic time series data by easy-to-use factors and generator
https://github.com/plaitpy/plaitpy	2017-12-22T01:41:45Z	2022-07-14T16:02:59Z	2018-12-27T02:32:51Z	419	419	16	4	Python	MIT		plait.py - a fake data modeler 
https://github.com/projectmesa/mesa	2014-09-19T21:16:30Z	2022-08-31T18:00:46Z	2022-08-17T14:48:58Z	1690	1690	729	176	Python	NOASSERTION		Mesa is an agent-based modeling framework in Python
https://github.com/scikit-learn/scikit-learn	2010-08-17T09:43:38Z	2022-09-01T05:15:22Z	2022-09-01T05:38:20Z	51226	51226	23360	2157	Python	BSD-3-Clause	https://scikit-learn.org	scikit-learn: machine learning in Python
https://github.com/sdv-dev/SDV	2018-05-11T15:56:50Z	2022-08-31T12:55:03Z	2022-09-01T00:36:23Z	984	984	163	130	Python	NOASSERTION	https://sdv.dev/SDV	Synthetic Data Generation for tabular, relational and time series data.
https://github.com/tirthajyoti/pydbgen	2018-03-10T21:57:58Z	2022-08-24T09:06:04Z	2021-06-09T23:32:03Z	240	240	55	4	Python	MIT	https://pydbgen.readthedocs.io/en/latest/	Random dataframe and database table generator
https://github.com/ZumoLabs/zpy	2021-02-12T16:13:56Z	2022-08-23T06:01:14Z	2021-12-04T15:26:07Z	250	250	23	4	Python	GPL-3.0		Synthetic data for computer vision. An open source toolkit using Blender and Python.
